term; definition
Monomer;"The smaller units from which larger molecules are made (e.g. monosaccharides, amino acids, nucleotides)."
Polymer;"Molecules made from many monomers joined together (e.g. polysaccharides, polypeptides, DNA, RNA)."
Condensation reaction;"Reaction where bonds form and water is removed."
Hydrolysis reaction;"Reaction where bonds break and water is added."
Carbohydrates elements;"Contain carbon, hydrogen, and oxygen (C, H, O)."
Carbohydrates functions;"Energy source, energy storage, and structural support."
Glycosidic bond;"Bond formed between two monosaccharides by condensation."
Disaccharide formation;"Two monosaccharides joined by glycosidic bond via condensation."
Maltose;"Disaccharide formed by glucose + glucose."
Sucrose;"Disaccharide formed by glucose + fructose."
Lactose;"Disaccharide formed by glucose + galactose."
Polysaccharide formation;"Many monosaccharides joined by condensation reactions."
Glycogen;"Polysaccharide formed by condensation of alpha glucose, highly branched for rapid glucose release."
Starch;"Polysaccharide formed by condensation of alpha glucose; contains amylose (unbranched, coiled) and amylopectin (branched)."
Cellulose;"Polysaccharide formed by beta glucose, forms straight chains with hydrogen bonds, creating strong microfibrils for support."
Glycogen vs Starch branching;"Glycogen is more branched to support animals higher metabolic rates and quick glucose release."
Reducing sugar test;"Benedict’s reagent and heat; positive = color change blue to brick red."
Non reducing sugar test;"Hydrolysis with acid then Benedict’s test."
Starch test;"Iodine turns from browny orange to blue black if starch is present."
Lipids groups;"Phospholipids (membranes) and triglycerides (energy storage)."
Phospholipid vs Triglyceride;"Phospholipids have phosphate group replacing one fatty acid."
Ester bond;"Bond formed by condensation between glycerol and fatty acid."
Fatty acid R group;"Variable hydrocarbon tail."
Saturated vs Unsaturated fatty acids;"Saturated have no double bonds; unsaturated have one or more."
Triglycerides functions;"High energy storage, low mass to energy ratio, insoluble, release water when oxidized."
Triglyceride droplets;"Formed by hydrophobic fatty acid tails facing inwards."
Phospholipid functions;"Form bilayer membranes; hydrophilic heads face water, hydrophobic tails form barrier."
Protein monomers;"Amino acids."
Polypeptide;"Many amino acids joined by peptide bonds (condensation)."
Amino acid structure;"Central carbon, carboxyl (COOH), amine (NH2), hydrogen, and variable R group."
Peptide bond;"Bond between amino acids formed by condensation between carboxyl and amine groups."
Primary protein structure;"Sequence of amino acids linked by peptide bonds."
Secondary protein structure;"Alpha helix or beta pleated sheet formed by hydrogen bonds."
